date,reported_cases,fever_reports,hospital_visits,temperature,humidity,population_mobility
2022-01-01,18,29,36,20.417086060859376,70.75642666369625,26.32127910175271
2022-01-02,10,30,46,20.122831671365365,75.48561500598039,16.691857079308306
2022-01-03,16,22,56,17.738654462667736,82.92171590162276,14.351303636488291
2022-01-04,19,28,57,20.433294941104503,72.23458337023192,11.678242163500187
2022-01-05,11,34,49,20.601057812343445,79.34926916251455,28.325136838359544
2022-01-06,13,28,44,20.79423028605256,64.75064023558969,24.092402274943773
2022-01-07,14,31,52,21.641803831455874,86.14888063330719,23.581985046260638
2022-01-08,16,35,42,22.03014129533045,97.4315997292399,31.927432037159313
2022-01-09,12,31,51,20.76229604437698,107.6380622430663,17.406433301974143
2022-01-10,14,33,49,26.132776511878014,80.55236143657532,12.040377645628315
2022-01-11,11,22,52,19.060955275113116,87.4386446106537,19.713780732020687
2022-01-12,16,25,51,20.66049032223897,61.65751144696513,33.95547404610689
2022-01-13,16,15,50,31.416458370699957,94.38954566206334,19.843152077492036
2022-01-14,13,37,44,20.214848630094792,87.0142210149569,27.629157468667913
2022-01-15,17,42,46,19.518827465959976,74.29366710697617,12.190809981961497
2022-01-16,10,29,50,26.03372966174646,91.37724241104841,15.074971660725538
2022-01-17,12,30,45,17.84801280168996,76.32451155717104,25.809494050118452
2022-01-18,13,26,59,23.621414763291817,74.14430382050561,20.482460053157354
2022-01-19,15,38,39,31.0112931450738,83.32467652618683,18.755276072666376
2022-01-20,9,35,57,20.184237158925264,67.77608759397907,27.504358708388082
2022-01-21,6,30,40,19.11695003669556,88.4557671693849,25.69715243209286
2022-01-22,14,31,58,20.80759822677248,67.50114036012602,20.658984282072502
2022-01-23,19,27,53,28.24094684840105,67.37369444386337,8.077322956466826
2022-01-24,12,25,51,29.159281253611546,68.58228858113128,19.447053993797187
2022-01-25,10,30,53,24.484553447154067,85.07092902317984,22.240298349309107
2022-01-26,18,27,49,28.307541251187956,71.09677550498802,10.479641747091549
2022-01-27,17,35,51,30.662399870792434,63.565092680284835,21.999123175374326
2022-01-28,18,31,54,32.085479369395635,70.76075789621974,27.912745771619182
2022-01-29,13,29,42,26.21424822000322,76.26169493921927,19.43533135592778
2022-01-30,20,23,51,20.276592448726866,64.52907770438279,13.822741040042711
2022-01-31,13,30,40,24.943996485170597,64.5708705900549,8.42516973915658
2022-02-01,13,27,59,26.349651572975795,96.94179381766568,22.1392143597775
2022-02-02,18,25,53,27.074417720748084,66.95667159490041,10.911583916858762
2022-02-03,21,25,40,27.506499370048335,72.05782243291343,23.519543921822716
2022-02-04,10,29,45,31.643213491306305,71.33430314716425,33.39522135747724
2022-02-05,18,27,45,32.32381162442951,70.50412209502221,8.840566631147205
2022-02-06,18,36,65,28.196983140032664,80.63485020493756,15.301175001270499
2022-02-07,15,28,58,32.21635493256691,83.59926835970514,18.060389613212514
2022-02-08,13,34,40,30.20013715162016,70.7476039532485,34.04222076773399
2022-02-09,21,31,45,29.52421914520073,61.124620244388396,20.190483950746902
2022-02-10,14,20,45,32.251116984682554,85.90909981346397,16.74544496361282
2022-02-11,12,33,63,29.94619956023847,71.87971684785641,26.61058599218973
2022-02-12,12,35,54,36.09795280492746,89.79801018470874,17.041440742010497
2022-02-13,22,42,75,25.801420782110505,49.69393164444157,14.970879748086274
2022-02-14,19,26,57,28.76027881107895,73.75225795589017,23.40299828981228
2022-02-15,21,26,53,30.112318214912854,90.62626492005091,27.30643214367906
2022-02-16,13,34,61,31.993207405600593,67.54318287069313,7.552304051369271
2022-02-17,12,30,32,34.658542035747956,68.4502674139428,14.936126142244323
2022-02-18,14,28,58,30.95805964275131,73.28356058730405,20.725519846853757
2022-02-19,10,36,49,26.93789236692971,64.35770375007903,18.314477965828424
2022-02-20,23,34,48,33.90212881654345,66.43625055583405,19.2588267290614
2022-02-21,15,39,63,33.80609870168496,65.78433171963178,13.867136842559221
2022-02-22,25,26,46,25.878861787923412,62.488109845293664,23.97574545170531
2022-02-23,15,24,47,31.852772450339263,80.64515754006733,30.954644393287357
2022-02-24,12,37,47,27.249990830579257,72.55620775514184,14.825144781640024
2022-02-25,16,34,53,30.17913259260423,70.03522752988408,23.969351489589105
2022-02-26,7,42,45,29.61372151864781,75.19297884965476,26.409857298569438
2022-02-27,21,28,40,34.89535349021307,64.03696476767666,20.676650832436614
2022-02-28,10,35,49,32.95976660703373,58.50679643615044,23.641389273495086
2022-03-01,17,28,37,28.89048337064483,59.78608821312559,15.381976760217789
2022-03-02,12,36,57,35.52165726300907,65.3889727748988,30.370458207444834
2022-03-03,13,29,48,28.710427849158712,54.3332815834864,27.37467213173461
2022-03-04,17,33,60,34.128716948576475,59.47262208696981,28.392196345787525
2022-03-05,9,18,51,30.818980641275786,58.85961009602572,13.09654801822074
2022-03-06,13,24,57,32.28268894930167,84.80772841625927,22.67632879802402
2022-03-07,17,31,49,35.0072752888988,35.36138755934276,15.749905156409666
2022-03-08,15,23,51,35.16955538921813,60.83682890982635,31.232488346990095
2022-03-09,17,24,56,37.722827043447886,79.41970977894763,14.927445374520515
2022-03-10,17,26,43,33.567808216735166,62.90735812724818,20.94432831579573
2022-03-11,22,33,43,34.83247784257797,68.74576617792499,9.487299441053796
2022-03-12,13,26,52,32.694346465130906,61.72921031599145,20.909657976032424
2022-03-13,12,31,51,34.64381051699682,53.573789262870854,13.1466754591323
2022-03-14,19,39,46,35.502403955432676,37.34110319627027,23.04875648183364
2022-03-15,15,33,52,33.970918202064176,61.325066701611455,18.489410750911162
2022-03-16,21,31,53,28.932270946601093,51.021944022976534,17.203425515403897
2022-03-17,13,27,55,35.4113594470772,50.27955513127104,31.497197615370357
2022-03-18,17,32,43,35.57978349688919,52.79548135230287,37.50934797778976
2022-03-19,16,34,40,32.51043839872875,74.73410572911301,11.872026199895462
2022-03-20,9,20,54,30.75834571936877,80.83184598778837,17.382822983077855
2022-03-21,15,26,43,39.095362574096754,58.45151875417545,25.18651253853972
2022-03-22,17,33,57,36.193933586757346,51.12587522000763,21.827310458546876
2022-03-23,18,19,52,34.07986415851625,43.49368053813074,24.7362946706781
2022-03-24,13,41,54,31.399142986467336,59.44218316855474,18.916958970697483
2022-03-25,17,33,58,32.38354294104626,72.07526485716275,27.74583398913443
2022-03-26,9,25,53,38.79110433162768,51.2609740463521,20.6524649984125
2022-03-27,12,34,67,35.32625442601341,29.43147999239266,22.23919945209297
2022-03-28,21,26,52,33.28702374120557,59.408045019086465,13.1518499129497
2022-03-29,19,20,55,36.4889422902963,62.04685101144283,19.977997437556557
2022-03-30,16,22,44,32.533336754994494,35.81905329915963,25.275068088724957
2022-03-31,11,34,62,39.49127925943639,52.92651026339476,21.439957242498952
2022-04-01,12,29,41,39.05492913438854,55.15774308444766,34.96947736598046
2022-04-02,17,28,50,33.60013888243452,49.39803312879794,20.262391073625384
2022-04-03,21,25,41,33.112739138728486,41.7049819268962,22.684905915016508
